,input,k.bact,p.nna,o.nchl,f.nmit
d3e01rcd10,9152,9152,9152,1981,1440
d3e02rcd10retry1p2,137,137,137,103,98
d3e03rcd10,46787,46787,46787,5595,1815
d3e04rcd10retry1p2,124,123,123,78,66
d3e05rcd10retry1p2,55,55,55,44,43
d3e06rcd10,2443,2443,2443,365,111
d3e07rcd10,57,57,57,55,55
d3e08rcd10,42354,42354,42354,42346,42341
d3e09rcd10retry1p2,661,661,661,390,329
d3e10rcd10,43510,43510,43510,43500,43500
d3e13rcd10retry1p2,28,28,28,9,9
d3e14rcd10,22526,22526,22526,6259,4657
d3e15rcd10retry1p2,145,145,145,55,44
d3e16rcd10,22,22,22,8,6
d3e17rcd10retry1p2,152,152,152,67,59
d3e18rcd10retry1p2,100,100,100,44,27
d3e19rcd10,10910,10910,10910,1745,1048
d3e20rcd10retry1p2,138,138,138,67,60
d3e21rcd10,5203,5203,5203,2576,2415
d3e22rcd10,29355,29355,29355,3745,1109
d3e25rcd10retry1p2,352,352,352,193,182
d3e26rcd10,802,802,802,780,775
d3e27rcd10retry1p2,6380,6380,6380,1118,888
d3e28rcd10retry1p2,139,139,139,108,103
d3e29rcd10,32821,32821,32821,3168,1209
d3e30rcd10,3203,3203,3203,1277,971
d3e31rcd10retry1p2,372,372,372,109,82
d3e32rcd10,22284,22284,22284,2430,1466
d3e33rcd10,17218,17218,17218,4875,3963
d3e34rcd10retry1p2,59,59,59,24,20
d3e37rcd10retry1p2,271,271,271,115,94
d3e38rcd10,8634,8634,8634,1279,490
d3e39rcd10,22197,22197,22197,2192,955
d3e40rcd10,12678,12678,12678,1114,294
d3e41rcd10retry1p2,12204,12203,12203,1183,702
d3e42rcd10retry1p2,180,177,177,31,22
d3e43rcd10retry1p2,110,109,109,53,47
d3e44rcd10,30,30,30,3,3
d3e45rcd10retry1p2,97677,94520,94512,10530,6843
d3e46rcd10retry1p2,62789,62788,62786,46353,44281
d4e01rcd10,45,45,45,44,36
d4e02rcd10,53,53,53,51,48
d4e03rcd10,6806,6806,6806,6805,6790
d4e04rcd10,3328,3328,3328,3328,3241
d4e05rcd10,4226,4226,4226,4225,335
d4e06rcd10,51191,51191,51191,51183,39830
d4e07rcd10,23,23,23,23,18
d4e08rcd10,83,83,83,81,49
d4e09rcd10,874,874,874,872,558
d4e10rcd10,40661,40661,40661,40657,33699
d4e11rcd10,31,31,31,30,19
d4e12rcd10,923,923,923,923,352
d4e13rcd10,70505,70505,70505,70475,4093
d4e14rcd10,2292,2292,2292,2279,658
d4e15rcd10,837,837,837,835,648
d4e16rcd10,3370,3370,3370,3369,767
d4e17rcd10retry,172,172,172,172,153
d4e18rcd10,5288,5288,5288,5288,2442
d4e19rcd10retry,6185,6185,6185,6147,5810
d4e20rcd10,54,54,54,53,50
d4e21rcd10,47,47,47,46,46
