,input,filtered,denoisedF,denoisedR,merged,nonchim,itsx,decontam.prev,p.not.unclassfungi
d3e01,162,162,161,161,140,139,139,139,135
d3e02,8785,8768,8721,8700,7882,7799,7795,7799,7573
d3e03,11478,11472,11443,11440,11108,10500,10495,10500,5417
d3e04,532,528,523,527,516,513,511,513,443
d3e05,22692,22686,22589,22559,21231,20557,20546,20557,18814
d3e06,14077,14067,14005,14017,13526,13019,13012,13019,8371
d3e07,63,63,63,63,59,56,56,56,48
d3e08,256,256,255,255,251,250,249,250,242
d3e09,1724,1721,1718,1712,1428,1422,1420,1422,1338
d3e10,28681,28677,28608,28608,21995,21836,21834,21836,21761
d3e13,5033,5023,5007,5004,4658,4597,4576,4597,1950
d3e14,11673,11657,11618,11615,11199,10896,10877,10896,5780
d3e15,205,205,204,205,194,191,191,191,168
d3e16,946,946,941,943,902,893,890,893,863
d3e17,9312,9308,9254,9271,9043,8910,8887,8903,8661
d3e18,6392,6386,6367,6372,6297,6208,6197,6208,5518
d3e19,3781,3763,3747,3733,3520,3427,3422,3427,1775
d3e20,6516,6500,6479,6459,6086,5966,5956,5964,3812
d3e21,10720,10716,10686,10659,9851,9535,9529,9535,3172
d3e22,3335,3327,3316,3310,3118,3057,3051,3057,604
d3e25,88,88,88,88,82,82,82,82,79
d3e26,11482,11481,11469,11479,9924,9900,9900,9900,9883
d3e27,6206,6199,6158,6160,5931,5789,5779,5789,4841
d3e28,7482,7479,7453,7466,7332,7056,7055,7056,7034
d3e29,6203,6200,6172,6171,5821,5630,5625,5630,873
d3e30,18096,18089,17740,17512,14650,14569,14565,14568,13480
d3e31,9950,9939,9899,9894,9337,9116,9051,9116,6072
d3e32,7918,7905,7881,7878,7756,7650,7632,7650,6546
d3e33,1664,1657,1650,1643,1600,1564,1558,1564,1159
d3e34,8460,8456,8410,8434,8062,7921,7891,7921,6961
d3e37,12717,12684,12655,12639,12261,12078,11926,12078,5951
d3e38,14217,14201,14163,14142,13336,12985,12984,12985,2777
d3e39,12259,12250,12204,12187,11609,11255,11244,11255,3511
d3e40,10120,10108,10066,10082,9770,9418,9415,9418,5830
d3e41,11602,11594,11541,11524,10756,10357,10341,10357,5468
d3e42,6582,6545,6535,6500,6023,5964,5873,5964,3604
d3e43,7280,7277,7232,7255,7171,7063,7046,7063,6720
d3e44,17134,17119,17025,17053,15514,15001,14994,14999,4896
d3e45,5601,5595,5571,5574,5486,5393,5380,5393,4136
d3e46,10833,10830,10797,10790,10490,10059,10058,10059,9944
NCe12,932,920,918,912,741,734,731,728,
NCe24,37,33,32,31,30,30,30,29,
NCe36,28,22,22,21,20,20,19,20,
NCe48,12,11,11,10,9,9,9,9,
NFH20,45,30,27,23,23,23,22,23,
TSe01,4242,4242,4236,4233,4155,4153,4153,4153,4153
TSe02,1350,1350,1347,1349,1308,1308,1308,1308,1308
TSe03,1814,1813,1813,1813,1787,1787,1787,1787,1787
TSe04,4,4,4,4,4,4,4,4,4
TSe05,2323,2322,2320,2321,2247,2246,2246,2246,2246
TSe06,4373,4372,4370,4371,4256,4254,4254,4254,4254
TSe07,1663,1662,1661,1661,1620,1620,1620,1620,1620
TSe08,1532,1532,1532,1530,1487,1487,1487,1487,1486
TSe09,2173,2172,2170,2170,2046,2046,2046,2046,2046
TSe10,1775,1775,1772,1773,1724,1724,1724,1724,1724
TSe11,1765,1765,1765,1762,1737,1737,1737,1737,1737
TSe12,1876,1876,1876,1874,1813,1813,1813,1813,1813
TSe13,2182,2182,2182,2181,2112,2112,2112,2112,2112
TSe14,3959,3959,3956,3958,3841,3841,3841,3841,3841
TSe15,2841,2840,2834,2839,2749,2748,2748,2748,2748
TSe16,2626,2626,2625,2626,2624,2624,2624,2624,2624
TSe17,3281,3281,3280,3279,3279,3279,3279,3279,3279
TSe18,2837,2837,2836,2837,2835,2835,2835,2835,2835
TSe19,1190,1190,1190,1189,1152,1152,1152,1152,1152
TSe20,3221,3220,3216,3218,3148,3147,3147,3147,3147
TSe21,3030,3029,3028,3027,2915,2907,2907,2907,2905
TSe22,1848,1847,1845,1844,1792,1792,1792,1792,1790
TSe23,3374,3373,3372,3373,3292,3291,3291,3291,3291
TSe24,2692,2691,2689,2690,2613,2613,2613,2613,2613
TSe25,2101,2101,2100,2100,2052,2049,2049,2049,2049
TSe26,3,3,3,3,3,3,3,3,3
TSe27,1966,1965,1964,1964,1912,1912,1912,1912,1912
TSe28,5427,5427,5421,5427,5421,5421,5421,5421,5421
TSe29,3799,3797,3791,3795,3681,3681,3681,3681,3681
TSe30,1936,1935,1932,1935,1883,1880,1880,1880,1880
TSe31,1988,1988,1987,1986,1939,1939,1939,1939,1939
TSe32,2958,2958,2956,2956,2899,2899,2899,2899,2899
TSe33,2559,2558,2557,2557,2508,2507,2507,2507,2507
TSe34,2081,2081,2081,2081,2042,2041,2041,2041,2041
TSe35,5146,5145,5144,5144,5029,5029,5029,5029,5029
TSe36,4971,4971,4971,4971,4963,4960,4960,4960,4960
TSe37,3579,3579,3576,3577,3479,3479,3479,3479,3479
TSe38,2357,2357,2356,2357,2354,2354,2354,2354,2354
TSe39,4476,4476,4475,4473,4374,4373,4373,4373,4372
TSe40,3466,3466,3466,3464,3366,3366,3366,3366,3366
TSe41,4534,4532,4531,4531,4461,4460,4460,4460,4460
TSe42,4113,4113,4109,4111,4008,4008,4008,4008,4008
TSNC1,5,5,5,5,5,5,5,5,
TSNC2,54,54,54,54,54,54,54,52,
TSNC3,12,12,12,12,12,12,12,12,
d4e01,38098,38095,38053,38074,35378,30066,30061,1831,1831
